,0
0,0.14098555860348308
1,0.10721601701497091
2,0.27963253220023815
3,-0.08147685072151482
4,0.033945730468109454
5,-0.0009915740166408042
6,-0.0935548635226634
7,-0.05589225354937465
8,0.01799082465682691
9,0.2342488176003379
10,0.1332185159721982
11,0.005713576778408903
12,-0.10119492725766896
13,0.10104328192368614
14,0.1386455314689161
15,-0.15940380048248956
16,0.008325373729733233
17,0.026645526180543604
18,0.019697686972879495
19,-0.04603440633851956
20,0.07285134673012338
21,0.013799880066994358
22,-0.09371587482867758
23,0.1231534732456722
24,0.01397271288100709
25,0.06440574913676124
26,-0.004291119092930461
27,-0.03547445412721446
28,-0.07751767695097729
29,0.07435230059980612
30,-0.04398087706708597
31,0.002798039861650286
32,-0.020366320660303822
33,-0.032311244249756635
34,0.004581275493428818
35,0.05867034433884698
36,-0.134171073694652
37,0.015158359796057626
38,-0.012922570118542526
39,-0.006029976548826947
40,-0.038401699426527734
41,0.00988332375382937
42,0.0020213824979228127
43,0.02698827283359402
44,6.101814972970187e-05
45,-0.03142153501569676
46,-0.03270642345106771
47,0.05350322397004979
48,-0.07848576969381472
49,-0.03652263402939073
50,0.0669366228644953
51,0.0006458684260930896
52,-0.0371287746566842
53,-0.05353716901281984
54,-0.10955500697921841
55,0.00997833186709041
56,-0.03609564795124297
57,-0.0036355064220410364
58,-0.02647879985473066
59,0.012735852305255585
60,-0.08407106949976224
61,0.03127535769298761
62,-0.04129870566504195
63,0.0012459331553354846
64,0.0025731937877713266
65,-0.022129189272738277
66,-0.045358136748589115
67,0.02145929167353185
68,0.012921234430084926
69,0.0210805705782996
70,0.002315330168662227
71,-0.0073509171551259375
72,-0.04987155912421572
73,0.06991437813024783
74,0.04744487751717294
75,-0.0037057781148518982
76,0.01903777400241242
77,-0.009219058151198004
78,-0.02354963904403737
79,-0.02385227298964266
80,0.016146493096184718
81,0.015627481589750695
82,0.004130529430433521
83,0.000794207741478363
84,0.00017998036595770706
85,0.028161005348470197
86,0.027683783581343907
87,-0.0011545964471822564
88,-0.027024476035146024
89,-0.04296362552791448
90,0.01730151967009648
91,0.025953590175425253
92,-0.030828202213123882
93,-0.031500133400877296
94,0.019381692922868066
95,0.03217226739456962
96,-0.04326358409299735
97,0.010639322385469559
98,-0.0043043155925462165
99,0.04260789669202822
100,0.027584861051230536
